id,ward,precinct,total,No Candidate,No Candidate Percent
0701,7,1,0,0,0.0
0702,7,2,0,0,0.0
0703,7,3,0,0,0.0
0704,7,4,0,0,0.0
0705,7,5,0,0,0.0
0706,7,6,0,0,0.0
0707,7,7,0,0,0.0
0708,7,8,0,0,0.0
0709,7,9,0,0,0.0
0710,7,10,0,0,0.0
0711,7,11,0,0,0.0
0712,7,12,0,0,0.0
0713,7,13,0,0,0.0
0714,7,14,0,0,0.0
0715,7,15,0,0,0.0
0716,7,16,0,0,0.0
0717,7,17,0,0,0.0
0718,7,18,0,0,0.0
0719,7,19,0,0,0.0
0720,7,20,0,0,0.0
0721,7,21,0,0,0.0
0722,7,22,0,0,0.0
0723,7,23,0,0,0.0
0724,7,24,0,0,0.0
0725,7,25,0,0,0.0
0726,7,26,0,0,0.0
0727,7,27,0,0,0.0
0728,7,28,0,0,0.0
0729,7,29,0,0,0.0
0730,7,30,0,0,0.0
0731,7,31,0,0,0.0
0732,7,32,0,0,0.0
0733,7,33,0,0,0.0
0734,7,34,0,0,0.0
0735,7,35,0,0,0.0
0736,7,36,0,0,0.0
0737,7,37,0,0,0.0
0738,7,38,0,0,0.0
0739,7,39,0,0,0.0
0740,7,40,0,0,0.0
0741,7,41,0,0,0.0
0742,7,42,0,0,0.0
0743,7,43,0,0,0.0
0744,7,44,0,0,0.0
0745,7,45,0,0,0.0
0746,7,46,0,0,0.0
