ward,precinct,total,No Candidate,No Candidate Percent
0648,6,48,0,0,0.0
0901,9,1,0,0,0.0
0902,9,2,0,0,0.0
0903,9,3,0,0,0.0
0904,9,4,0,0,0.0
0905,9,5,0,0,0.0
0906,9,6,0,0,0.0
0907,9,7,0,0,0.0
0908,9,8,0,0,0.0
0909,9,9,0,0,0.0
0910,9,10,0,0,0.0
0911,9,11,0,0,0.0
0913,9,13,0,0,0.0
0914,9,14,0,0,0.0
0915,9,15,0,0,0.0
0916,9,16,0,0,0.0
0917,9,17,0,0,0.0
0918,9,18,0,0,0.0
0919,9,19,0,0,0.0
0920,9,20,0,0,0.0
0921,9,21,0,0,0.0
0922,9,22,0,0,0.0
0926,9,26,0,0,0.0
0927,9,27,0,0,0.0
0928,9,28,0,0,0.0
0929,9,29,0,0,0.0
0930,9,30,0,0,0.0
0931,9,31,0,0,0.0
0932,9,32,0,0,0.0
0933,9,33,0,0,0.0
0934,9,34,0,0,0.0
0935,9,35,0,0,0.0
0937,9,37,0,0,0.0
0938,9,38,0,0,0.0
0939,9,39,0,0,0.0
0940,9,40,0,0,0.0
0941,9,41,0,0,0.0
0943,9,43,0,0,0.0
0944,9,44,0,0,0.0
0945,9,45,0,0,0.0
0946,9,46,0,0,0.0
1928,19,28,0,0,0.0
1943,19,43,0,0,0.0
2101,21,1,0,0,0.0
2102,21,2,0,0,0.0
2103,21,3,0,0,0.0
2105,21,5,0,0,0.0
2106,21,6,0,0,0.0
2107,21,7,0,0,0.0
2108,21,8,0,0,0.0
2109,21,9,0,0,0.0
2110,21,10,0,0,0.0
2111,21,11,0,0,0.0
2112,21,12,0,0,0.0
2113,21,13,0,0,0.0
2114,21,14,0,0,0.0
2116,21,16,0,0,0.0
2117,21,17,0,0,0.0
2118,21,18,0,0,0.0
2119,21,19,0,0,0.0
2120,21,20,0,0,0.0
2121,21,21,0,0,0.0
2122,21,22,0,0,0.0
2123,21,23,0,0,0.0
2124,21,24,0,0,0.0
2125,21,25,0,0,0.0
2127,21,27,0,0,0.0
2129,21,29,0,0,0.0
2132,21,32,0,0,0.0
2133,21,33,0,0,0.0
2134,21,34,0,0,0.0
2135,21,35,0,0,0.0
2136,21,36,0,0,0.0
2137,21,37,0,0,0.0
2138,21,38,0,0,0.0
2139,21,39,0,0,0.0
2140,21,40,0,0,0.0
2141,21,41,0,0,0.0
2142,21,42,0,0,0.0
2144,21,44,0,0,0.0
2145,21,45,0,0,0.0
2146,21,46,0,0,0.0
2148,21,48,0,0,0.0
2149,21,49,0,0,0.0
2150,21,50,0,0,0.0
2152,21,52,0,0,0.0
3401,34,1,0,0,0.0
3402,34,2,0,0,0.0
3403,34,3,0,0,0.0
3404,34,4,0,0,0.0
3405,34,5,0,0,0.0
3406,34,6,0,0,0.0
3407,34,7,0,0,0.0
3408,34,8,0,0,0.0
3409,34,9,0,0,0.0
3410,34,10,0,0,0.0
3411,34,11,0,0,0.0
3412,34,12,0,0,0.0
3413,34,13,0,0,0.0
3414,34,14,0,0,0.0
3415,34,15,0,0,0.0
3416,34,16,0,0,0.0
3418,34,18,0,0,0.0
3419,34,19,0,0,0.0
3420,34,20,0,0,0.0
3421,34,21,0,0,0.0
3422,34,22,0,0,0.0
3423,34,23,0,0,0.0
3424,34,24,0,0,0.0
3425,34,25,0,0,0.0
3426,34,26,0,0,0.0
3427,34,27,0,0,0.0
3428,34,28,0,0,0.0
3429,34,29,0,0,0.0
3430,34,30,0,0,0.0
3431,34,31,0,0,0.0
3432,34,32,0,0,0.0
3433,34,33,0,0,0.0
3434,34,34,0,0,0.0
3435,34,35,0,0,0.0
3436,34,36,0,0,0.0
3437,34,37,0,0,0.0
3438,34,38,0,0,0.0
3439,34,39,0,0,0.0
3440,34,40,0,0,0.0
3441,34,41,0,0,0.0
3442,34,42,0,0,0.0
3443,34,43,0,0,0.0
3444,34,44,0,0,0.0
3445,34,45,0,0,0.0
3446,34,46,0,0,0.0
3447,34,47,0,0,0.0
3448,34,48,0,0,0.0
3449,34,49,0,0,0.0
3450,34,50,0,0,0.0
3451,34,51,0,0,0.0
3452,34,52,0,0,0.0
3453,34,53,0,0,0.0
