ward,precinct,total,Joseph A. Barton,Joseph A. Barton Percent
1001,10,1,0,0,0.0
1002,10,2,0,0,0.0
1003,10,3,0,0,0.0
1004,10,4,0,0,0.0
1005,10,5,0,0,0.0
1006,10,6,0,0,0.0
1007,10,7,0,0,0.0
1008,10,8,0,0,0.0
1009,10,9,0,0,0.0
1010,10,10,0,0,0.0
1011,10,11,0,0,0.0
1012,10,12,0,0,0.0
1013,10,13,0,0,0.0
1014,10,14,0,0,0.0
1015,10,15,0,0,0.0
1016,10,16,0,0,0.0
1017,10,17,0,0,0.0
1018,10,18,0,0,0.0
1019,10,19,1,1,100.0
1020,10,20,0,0,0.0
1021,10,21,0,0,0.0
1022,10,22,0,0,0.0
1023,10,23,0,0,0.0
1024,10,24,0,0,0.0
1025,10,25,0,0,0.0
1026,10,26,0,0,0.0
1027,10,27,0,0,0.0
1028,10,28,4,4,100.0
1029,10,29,2,2,100.0
1030,10,30,0,0,0.0
1031,10,31,0,0,0.0
1032,10,32,0,0,0.0
1033,10,33,0,0,0.0
1034,10,34,0,0,0.0
1035,10,35,0,0,0.0
1036,10,36,0,0,0.0
1037,10,37,0,0,0.0
1038,10,38,0,0,0.0
1039,10,39,0,0,0.0
1040,10,40,0,0,0.0
1041,10,41,0,0,0.0
1042,10,42,0,0,0.0
1043,10,43,0,0,0.0
1044,10,44,0,0,0.0
1045,10,45,0,0,0.0
1046,10,46,0,0,0.0
1047,10,47,0,0,0.0
1048,10,48,0,0,0.0
