ward,precinct,total,Beverly Neely,Beverly Neely Percent
0601,6,1,0,0,0.0
0602,6,2,0,0,0.0
0603,6,3,0,0,0.0
0604,6,4,0,0,0.0
0605,6,5,0,0,0.0
0606,6,6,0,0,0.0
0607,6,7,0,0,0.0
0608,6,8,0,0,0.0
0609,6,9,0,0,0.0
0610,6,10,0,0,0.0
0611,6,11,0,0,0.0
0612,6,12,0,0,0.0
0613,6,13,0,0,0.0
0614,6,14,0,0,0.0
0615,6,15,0,0,0.0
0616,6,16,0,0,0.0
0617,6,17,0,0,0.0
0618,6,18,0,0,0.0
0619,6,19,0,0,0.0
0620,6,20,0,0,0.0
0621,6,21,0,0,0.0
0622,6,22,0,0,0.0
0623,6,23,0,0,0.0
0624,6,24,0,0,0.0
0625,6,25,0,0,0.0
0626,6,26,0,0,0.0
0627,6,27,0,0,0.0
0628,6,28,0,0,0.0
0629,6,29,0,0,0.0
0630,6,30,0,0,0.0
0631,6,31,0,0,0.0
0632,6,32,0,0,0.0
0633,6,33,0,0,0.0
0634,6,34,0,0,0.0
0635,6,35,0,0,0.0
0636,6,36,0,0,0.0
0637,6,37,0,0,0.0
0638,6,38,1,1,100.0
0639,6,39,0,0,0.0
0640,6,40,0,0,0.0
0641,6,41,0,0,0.0
0642,6,42,0,0,0.0
0643,6,43,0,0,0.0
0644,6,44,0,0,0.0
0645,6,45,0,0,0.0
0646,6,46,0,0,0.0
0647,6,47,1,1,100.0
0648,6,48,0,0,0.0
0649,6,49,0,0,0.0
0650,6,50,0,0,0.0
0651,6,51,0,0,0.0
0652,6,52,0,0,0.0
0653,6,53,0,0,0.0
0654,6,54,0,0,0.0
0655,6,55,0,0,0.0
0656,6,56,0,0,0.0
0657,6,57,0,0,0.0
0658,6,58,0,0,0.0
0659,6,59,0,0,0.0
0660,6,60,0,0,0.0
0661,6,61,0,0,0.0
0662,6,62,0,0,0.0
0663,6,63,0,0,0.0
0664,6,64,0,0,0.0
