ward,precinct,total,BALLOTS CAST - LIBERTARIAN,BALLOTS CAST - LIBERTARIAN Percent
0101,1,1,0,0,0.0
0102,1,2,0,0,0.0
0103,1,3,0,0,0.0
0104,1,4,0,0,0.0
0105,1,5,1,1,100.0
0107,1,7,0,0,0.0
0108,1,8,0,0,0.0
0109,1,9,0,0,0.0
0110,1,10,0,0,0.0
0111,1,11,0,0,0.0
0112,1,12,0,0,0.0
0113,1,13,0,0,0.0
0114,1,14,0,0,0.0
0115,1,15,0,0,0.0
0116,1,16,0,0,0.0
0117,1,17,0,0,0.0
0118,1,18,0,0,0.0
0119,1,19,0,0,0.0
0120,1,20,0,0,0.0
0121,1,21,1,1,100.0
0122,1,22,0,0,0.0
0123,1,23,0,0,0.0
0124,1,24,0,0,0.0
0125,1,25,0,0,0.0
0126,1,26,0,0,0.0
0127,1,27,0,0,0.0
0128,1,28,0,0,0.0
0129,1,29,0,0,0.0
0130,1,30,0,0,0.0
0132,1,32,0,0,0.0
0133,1,33,0,0,0.0
0134,1,34,0,0,0.0
0136,1,36,0,0,0.0
0137,1,37,0,0,0.0
1103,11,3,0,0,0.0
1110,11,10,0,0,0.0
1114,11,14,0,0,0.0
1117,11,17,0,0,0.0
1118,11,18,0,0,0.0
1122,11,22,0,0,0.0
1123,11,23,0,0,0.0
1126,11,26,0,0,0.0
1127,11,27,0,0,0.0
1130,11,30,0,0,0.0
1131,11,31,0,0,0.0
1136,11,36,0,0,0.0
1201,12,1,1,1,100.0
1202,12,2,0,0,0.0
1203,12,3,0,0,0.0
1204,12,4,0,0,0.0
1205,12,5,0,0,0.0
1206,12,6,0,0,0.0
1207,12,7,0,0,0.0
1208,12,8,0,0,0.0
1209,12,9,0,0,0.0
1210,12,10,0,0,0.0
1211,12,11,0,0,0.0
1212,12,12,0,0,0.0
1213,12,13,0,0,0.0
1214,12,14,0,0,0.0
1215,12,15,0,0,0.0
1216,12,16,0,0,0.0
1217,12,17,0,0,0.0
1218,12,18,0,0,0.0
1219,12,19,0,0,0.0
1220,12,20,0,0,0.0
1221,12,21,0,0,0.0
1222,12,22,0,0,0.0
1223,12,23,0,0,0.0
1224,12,24,0,0,0.0
1225,12,25,0,0,0.0
1226,12,26,0,0,0.0
1227,12,27,0,0,0.0
1228,12,28,0,0,0.0
1229,12,29,0,0,0.0
1230,12,30,0,0,0.0
1403,14,3,0,0,0.0
1404,14,4,0,0,0.0
1405,14,5,0,0,0.0
1406,14,6,0,0,0.0
1407,14,7,0,0,0.0
1408,14,8,0,0,0.0
1409,14,9,0,0,0.0
1411,14,11,0,0,0.0
1412,14,12,0,0,0.0
1413,14,13,0,0,0.0
1414,14,14,0,0,0.0
1416,14,16,0,0,0.0
1418,14,18,0,0,0.0
1419,14,19,0,0,0.0
1422,14,22,0,0,0.0
1423,14,23,0,0,0.0
1424,14,24,0,0,0.0
1426,14,26,0,0,0.0
1428,14,28,0,0,0.0
1429,14,29,0,0,0.0
1430,14,30,0,0,0.0
1431,14,31,0,0,0.0
1432,14,32,0,0,0.0
1433,14,33,0,0,0.0
1434,14,34,0,0,0.0
1435,14,35,0,0,0.0
1436,14,36,0,0,0.0
1437,14,37,0,0,0.0
1439,14,39,0,0,0.0
1440,14,40,0,0,0.0
1441,14,41,0,0,0.0
1442,14,42,0,0,0.0
1446,14,46,0,0,0.0
1447,14,47,0,0,0.0
1601,16,1,0,0,0.0
1613,16,13,0,0,0.0
1621,16,21,0,0,0.0
1641,16,41,0,0,0.0
1642,16,42,0,0,0.0
2202,22,2,0,0,0.0
2203,22,3,0,0,0.0
2204,22,4,0,0,0.0
2205,22,5,0,0,0.0
2206,22,6,0,0,0.0
2209,22,9,0,0,0.0
2210,22,10,0,0,0.0
2211,22,11,0,0,0.0
2213,22,13,0,0,0.0
2214,22,14,0,0,0.0
2216,22,16,0,0,0.0
2217,22,17,0,0,0.0
2218,22,18,0,0,0.0
2223,22,23,0,0,0.0
2224,22,24,0,0,0.0
2225,22,25,0,0,0.0
2226,22,26,0,0,0.0
2227,22,27,0,0,0.0
2229,22,29,0,0,0.0
2307,23,7,0,0,0.0
2309,23,9,0,0,0.0
2322,23,22,0,0,0.0
2324,23,24,0,0,0.0
